Teams,FT_Percentage,Seed,OffRtg,DefRtg
Duke,72.9,1,128.1,90.7
Siena,77.1,16,107.8,108.9
OhioState,77.9,8,124,101.8
TCU,70.4,9,115,97.7
StJohns,72.2,5,121.1,93.9
NorthernIowa,69.2,12,109.8,98.9
Kansas,76.7,4,117.7,93.5
CalBaptist,71.3,13,107.8,101.7
Louisville,76.1,6,123.5,98.9
SouthFlorida,74.6,11,117.7,100.8
MichiganState,76.3,3,123.1,66.3
NDState,71.4,14,111.6,107
UCLA,76.3,7,122.8,101.6
UCF,72.9,10,120,105
UCONN,72.4,2,122.6,92.8
Furman,70.1,15,108.2,109.6
Florida,71.2,1,126,92.4
PVA&M,75.6,16,101.2,111.4
Clemson,72.5,8,116.6,98
Iowa,76.9,9,123.7,100.3
Vanderbilt,78.9,5,127.1,99.8
McNeese,74.4,12,114.5,102
Nebraska,75.5,4,119.5,93
Troy,74.2,13,110.4,109.2
NorthCarolina,68.2,6,120.7,100.6
VCU,72.9,11,119.2,101.8
Illinois,78,3,131.1,97.4
Penn,69.4,14,107.6,106.6
SaintMarys,80.3,7,119.2,97.3
TexasA&M,73.8,10,119.4,100.7
Houston,77.3,2,124.7,90.8
Idaho,72.6,15,108.4,107.4
Arizona,73.4,1,128.1,90
LongIsland,66.7,16,105.7,109.7
Villanova,68.9,8,120.7,100.8
UtahState,71,9,123,101.5
Wisconsin,78.8,5,125.2,102.1
HighPoint,74.3,12,117.5,107.9
Arkansas,75.1,4,127.9,102.4
Hawaii,73.5,13,107.2,101.6
BYU,74.7,6,125.1,102.3
Texas,74.4,11,124.9,104.4
Gonzaga,70.7,3,121.1,94.1
KennesawState,70.1,14,110.7,109.5
Miami,68.3,7,121,100.4
Missouri,69.1,10,119.3,104.3
Purdue,74.6,2,131.6,100.5
Queens,74.9,15,115.8,117.6
Michigan,74.8,1,128.2,88.5
Howard,74,16,104.9,107.5
Georgia,75,8,124.1,104.8
SLU,74.1,9,120.3,100.8
TexasTech,71.5,5,124.9,100.4
Akron,75.4,12,118.9,106.9
Alabama,76.7,4,129.7,102.5
Hofstra,75.8,13,114.4,105.3
Tennessee,69.1,6,121.4,94.4
Miami(OH),75,11,117.1,108.5
Virginia,72.8,3,122.8,97.1
WrightState,74.7,14,112.6,110.2
Kentucky,72.7,7,120.4,99.3
SantaClara,74.4,10,123.7,104.7
IowaState,67.5,2,123.6,91.6
TennesseeState,76,15,109.2,111.3
